host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
1,1,1.0,1,,1,1,0,1,68.0,1,0,1.0,1.0,0,1.0,1,1.0,2.0,14,2.0,14.0,0,9,26,108,30.0,2,4.96,4.99,4.98,4.99,4.98,4.98,4.97,1,3.44,116
1,1,1.0,1,1.0,1,1,1,1,164.0,1,1,1.0,1.0,1,2.5,3,3.0,1.0,1125,1.0,1125.0,1,35,65,288,15.6,1,4.96,4.97,4.93,4.97,4.98,4.86,4.85,1,1.8,484
1,0,1.0,1,1.0,1,1,0,1,385.0,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.3,425.7,1,35,51,228,8.0,1,4.84,4.89,4.95,4.95,5.0,5.0,4.84,3,0.35,475
1,0,1.0,1,1.0,1,1,1,1,675.0,1,1,6.1,8.6,0,3.0,4,2.3,1.0,1125,1.8,661.5,1,25,43,151,5.0,1,5.0,4.9,4.76,5.0,4.86,5.0,4.71,3,0.41,477
1,0,1.0,1,1.0,1,1,0,1,300.0,1,1,6.1,8.6,1,2.0,2,3.0,1.0,1125,2.7,169.5,1,38,68,321,7.0,0,4.82,4.9,4.9,4.82,4.91,4.95,4.9,3,0.33,464
1,0,1.0,1,1.0,1,1,0,1,425.0,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.5,319.4,1,29,45,273,4.0,0,4.83,4.79,4.9,5.0,4.76,4.9,4.9,3,0.42,465
1,0,1.0,1,1.0,1,1,0,1,548.0,1,1,6.1,8.6,1,3.5,4,2.3,1.0,1125,2.8,156.8,1,38,59,322,7.0,0,4.88,5.0,4.88,4.88,4.76,4.96,4.8,3,0.41,452
1,0,1.0,1,1.0,1,1,0,1,198.4130841,1,1,6.1,8.6,1,2.1,2,2.6,1.0,1125,2.2,449.2,1,49,61,223,3.0,1,4.86,5.0,4.97,4.89,4.83,4.94,4.71,3,0.45,510
1,0,1.0,1,1.0,1,1,1,1,345.0,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.9,85.2,1,49,74,344,6.0,1,4.88,4.94,4.94,4.78,4.84,4.96,4.8,3,0.85,454
1,1,1.0,1,1.0,1,1,0,1,169.0,1,1,2.0,2.0,0,1.0,2,2.0,2.0,1125,2.0,1125.0,1,50,75,279,58.0,2,4.94,4.93,4.96,4.98,5.0,5.0,4.88,1,4.81,365
1,0,0.99,1,1.0,1,1,1,1,277.0,1,0,22.0,38.0,1,2.0,3,4.0,3.0,1125,5.2,1125.0,1,53,83,308,3.0,0,4.95,5.0,4.9,5.0,5.0,5.0,4.75,3,0.27,497
1,1,1.0,1,,1,1,0,1,233.0,1,0,7.0,10.0,0,1.0,2,2.0,1.0,360,2.1,1125.0,1,37,48,315,40.0,1,4.99,4.96,4.97,4.98,4.98,5.0,4.85,7,2.89,138
1,1,0.99,1,1.0,1,0,0,0,69.0,1,0,2.0,3.0,0,1.0,1,2.0,1.0,9,1.0,9.0,0,12,12,12,15.6,4,4.98,4.99,4.97,4.99,4.99,4.98,4.91,2,1.8,170
0,0,0.24,0,1.0,1,1,0,1,127.0,1,0,3.0,4.0,1,1.0,2,2.0,1.0,7,1.0,1125.0,1,42,72,72,15.6,1,4.85,4.9,4.86,4.95,4.93,4.91,4.75,3,5.16,394
1,1,1.0,1,1.0,1,1,1,1,140.0,1,1,5.0,5.0,0,1.5,2,2.0,2.0,1125,2.6,1125.0,0,0,0,183,6.0,1,4.91,4.93,4.95,5.0,4.96,4.91,4.7,5,0.69,450
1,0,0.99,0,1.0,1,0,0,1,87.0,1,1,6.1,8.6,0,1.0,2,2.0,28.0,1125,28.0,1125.0,0,39,69,344,5.0,1,4.9,4.9,4.9,4.9,5.0,4.9,4.9,12,0.19,501
1,1,0.78,0,,1,1,0,1,270.0,1,0,1.0,3.0,1,1.6,4,3.0,3.0,1125,3.0,1125.0,0,23,53,281,2.0,0,5.0,5.0,5.0,4.97,5.0,5.0,4.89,1,0.49,451
